"Название журнала","Специализация","Дата включения в реестр"
"Вестник Саратовской государственной юридической академии","12.00.00 – юридические науки;
23.00.00 – политология;
22.00.00 – социологические науки",2015-12-01
"Вестник Северо-Восточного федерального университета имени М.К. Аммосова","03.02.00 – общая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
10.01.00 – литературоведение;
10.02.00 – языкознание.",2015-12-01
"Вестник СевКавГТИ","05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура
08.00.00 – экономические науки;
12.00.00 – юридические науки.",2015-12-01
"Вестник СибАДИ","05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная техника и управление;",2015-12-01
"Вестник СибГУТИ","01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-01
"Вестник Сибирского государственного аэрокосмического университета имени академика М.Ф. Решетнева","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно - космическая техника;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-01
"Вестник Тверского государственного университета. Серия: Прикладная математика","01.01.00 – математика;
05.01.00 -  инженерная геометрия и компьютерная графика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник технологического университета","02.00.00 – химические науки;
03.02.00 – общая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.19.00 – технология материалов и изделий текстильной и легкой промышленности",2015-12-01
"Вестник Тихоокеанского государственного университета","05.05.00 – транспортное, горное и строительное
машиностроение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки;
22.00.00 – социологические науки.",2015-12-01
"Вестник Томского государственного университета. Управление, вычислительная техника и информатика","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Томского государственного университета. Философия.
Социология. Политология","23.00.00 – политология;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2015-12-01
"Вестник УГАТУ","05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.07.00 – авиационная и ракетно- космическая техника;
05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
"Вестник УГНТУ. Наука, образование, экономика. Серия экономика
(До 19.04.2017 г. наименование в Перечне Вестник УГУЭС. Наука, образование, экономика. Серия экономика)","08.00.00 – экономические науки;
13.00.00 – педагогические науки;
22.00.00 – социологические науки.",2015-12-01
"Вестник университета","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Вестник УрФО. Безопасность в информационной сфере","01.01.00 – математика;
01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
12.00.00 – юридические науки.",2015-12-01
"Вестник Череповецкого","05.13.00 – информатика,",2015-12-01
"Вестник Чувашского университета","05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
07.00.00 - исторические науки и археология;
10.02.00 – языкознание",2015-12-01
"Вестник экономики, права и социологии","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Вестник Южно-российского государственного технического университета (НПИ). Серия: Социально-экономические науки","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
,"05.13.00 – информатика, вычислительная техника и управление.",
"Вестник Южно-Уральского государственного университета. Серия Вычислительная математика и информатика","05.13.00 – информатика, вычислительная техника и управление;
01.01.00 – математика;
25.00.00 – науки о Земле",2015-12-01
"Вестник Южно-Уральского государственного университета. Серия Социально-гуманитарные науки","07.00.00 – исторические науки и археология;
17.00.00 – искусствоведение;
22.00.00 – социологические науки",2015-12-01
"Вестник Южно-Уральского государственного университета. Серия Строительство и архитектура","25.00.00 - науки о Земле;
05.01.00 – инженерная геометрия и компьютерная графика;
05.13.00 –информатика, вычислительная техника и управление;
05.23.00 –строительство и архитектура",2015-12-01
"Власть и управление на Востоке России","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Вопросы атомной науки и техники. Серия Термоядерный синтез.","01.04.00 – физика;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 –энергетика;
05.16.00 – металлургия и металловедение.",2015-12-01
"Вопросы государственного и муниципального  управления","12.00.00 – юридические науки;
08.00.00 – экономические науки;
22.00.00 – социологические науки.",2015-12-01
"Вопросы кибербезопасности","05.13.00 – информатика, вычислительная техника и управление;
05.02.00 – машиностроение и машиноведение;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Вопросы образования Educational Studies","22.00.00 – социологические науки;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2015-12-01
"Вопросы радиоэлектроники","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
08.00.00 – экономические науки.",2015-12-01
"Вопросы управления","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2015-12-01
"Вопросы экономики","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Врач и информационные технологии","03.01.00 – физико-химическая биология; 05.13.00 – информатика, вычислительная техника
и управление",2015-12-01
"Всероссийский научный журнал
Общественные науки","12.00.00 – юридические науки;
22.00.00 – социологические науки;
10.01.00 – литературоведение;
10.02.00 – языкознание.",2015-12-01
"Высшее образование в России","09.00.00 – философские науки;13.00.00 – педагогические науки22.00.00 – социологические науки",2015-12-01
"Высшее образование сегодня","13.00.00 – педагогические науки;19.00.00 – психологические науки;22.00.00 – социологические науки.",2015-12-01
"Вычислительная механика сплошных сред — Computational continuum mechanics","01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Геометрия и графика","01.01.00 – математика;
05.01.00 – инженерная геометрия и компьютерная графика;
05.13.00 – информатика, вычислительная техника и управление;
13.00.00 – педагогические науки.",2015-12-01
"Гидроакустика/Hydroacoustics","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Глобальная ядерная безопасность","05.14.00 – энергетика;
05.26.00 – безопасность деятельности человека;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
"Горное оборудование и электромеханика","25.00.00 – науки о Земле;
05.02.00 – машиностроение и машиноведение;
05.05.00 – транспортное, горное и строительное машиностроение;
05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
"Горный информационно- аналитический бюллетень (научно- технический журнал)
Mining informational and analytical bulletin (scientific and technical journal)","05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека;
25.00.00 – науки о Земле.",2015-12-01
